edge_index,sample_index,parameter,x_mm,y_mm,z_mm
2,24,2.3992518937341716,122.88341631477032,-19.34619111180644,55.300000000000004
2,25,2.499283430641033,122.00090684364339,-19.957145001028383,55.300000000000004
2,26,2.599314967547895,121.09150022055874,-20.563340018193173,55.300000000000004
2,27,2.6993465044547564,120.15538493106467,-21.16468093590431,55.300000000000004
2,28,2.799378041361618,119.19274945222267,-21.761072476684596,55.300000000000004
2,29,2.8994095782684792,118.20378227479979,-22.35241934688684,55.300000000000004
2,30,2.999441115175341,117.18867191770156,-22.938626264605674,55.300000000000004
2,31,3.0994726520822025,116.14760693625908,-23.51959798168391,55.300000000000004
2,32,3.199504188989064,115.08077592571956,-24.095239300036773,55.300000000000004
2,33,3.2995357258959257,113.98836752105629,-24.66545508259726,55.300000000000004
2,34,3.3995672628027873,112.87057039401611,-25.230150259229,55.300000000000004
2,35,3.4995987997096485,111.72757324815257,-25.789229827969983,55.300000000000004
2,36,3.59963033661651,110.55956481244982,-26.342598851968763,55.300000000000004
2,37,3.6996618735233717,109.36673383402565,-26.890162452460387,55.300000000000004
2,38,3.7996934104302333,108.14926907030238,-27.43182579810729,55.300000000000004
2,39,3.899724947337095,106.9073592809556,-27.967494091003182,55.300000000000004
2,40,3.9997564842439566,105.64119321988545,-28.49707254960846,55.300000000000004
2,41,4.099788021150817,104.35095962740228,-29.020466388855578,55.300000000000004
2,42,4.199819558057679,103.03684722277677,-29.537580797632785,55.300000000000004
2,43,4.2998510949645405,101.69904469727159,-30.04832091382582,55.300000000000004
2,44,4.399882631871403,100.3377407077447,-30.55259179706981,55.300000000000004
2,45,4.499914168778265,98.95312387089449,-31.050298399338047,55.300000000000004
2,46,4.599945705685126,97.54538275820131,-31.541345533470484,55.300000000000004
2,47,4.699977242591987,96.11470589160805,-32.02563783972267,55.300000000000004
2,48,4.800008779498849,94.6628927529037,-32.50255842178215,55.300000000000004
2,49,4.90004031640571,93.19190896861166,-32.97149965043211,55.300000000000004
2,50,5.000071853312572,91.70206505619488,-33.43242149708607,55.300000000000004
2,51,5.1001033902194335,90.19367089797501,-33.88528315417538,55.300000000000004
2,52,5.200134927126295,88.66703610052429,-34.33004306102799,55.300000000000004
2,53,5.300166464033157,87.12247006098397,-34.766659013218955,55.300000000000004
2,54,5.400198000940018,85.560282022469,-35.19508826248277,55.300000000000004
2,55,5.50022953784688,83.98078112009094,-35.615287607772814,55.300000000000004
2,56,5.600261074753742,82.3842764189232,-36.02721347804008,55.300000000000004
2,57,5.700292611660602,80.7710769450521,-36.430822007282174,55.300000000000004
2,58,5.800324148567464,79.14149171070117,-36.82606910238847,55.300000000000004
2,59,5.9003556854743255,77.49582973428197,-37.21291050427882,55.300000000000004
2,60,6.000387222381187,75.83440005610767,-37.59130184280256,55.300000000000004
2,61,6.100418759288049,74.15751175040553,-37.96119868583426,55.300000000000004
2,62,6.20045029619491,72.46547393417751,-38.322556582970876,55.300000000000004
2,63,6.300481833101772,70.75859577338375,-38.67533110420486,55.300000000000004
2,64,6.400513370008634,69.03718648685887,-39.01947787391813,55.300000000000004
2,65,6.500544906915495,67.3015553483158,-39.354952600512945,55.300000000000004
2,66,6.600576443822357,65.55201168674385,-39.681711101968766,55.300000000000004
2,67,6.7006079807292185,63.78886488546674,-39.99970932758786,55.300000000000004
2,68,6.80063951763608,62.01242438009107,-40.30890337616835,55.300000000000004
2,69,6.900671054542941,60.22299965554511,-40.60924951081987,55.300000000000004
2,70,7.0007025914498024,58.42090024238196,-40.900704170615256,55.300000000000004
2,71,7.100734128356664,56.60643571249932,-41.183223979251395,55.300000000000004
2,72,7.200765665263526,54.77991567440834,-41.45676575087287,55.300000000000004
2,73,7.300797202170387,52.94164976816881,-41.72128649319401,55.300000000000004
